Lemma	Senses	Freq
water glass	1	1
plumage	1	1
splash	1	1
in this	1	1
drag	1	1
excellent	1	4
disclosure	1	1
pit	1	1
first	8	24
cause of death	1	2
wrap	1	1
difficulty	3	7
amazing	1	1
dangerous	2	6
stay	2	5
influence	1	1
people	2	5
unexplained	1	1
chemical	1	3
as if	1	3
tool-house	1	3
fist	1	1
confess	1	6
edge	2	4
distorted	1	1
seven	1	1
haggard	1	3
g	1	1
short	3	12
threat	1	1
a couple of	1	1
boarding-house	1	1
wash out	1	1
youth	1	1
nearly	1	3
page	1	1
mass	1	1
handle	2	2
brandy	1	1
sad	1	1
daresay	1	3
ruthless	1	1
annoyance	1	1
left-hand	1	2
get out	3	5
shade	1	1
cock	2	2
tension	1	1
pure	1	2
brain	2	2
board	1	3
indirectly	1	2
terrible	3	10
strain	2	2
point of view	1	2
violet	1	1
possibly	2	5
poison	1	4
last year	1	2
sleeve	1	1
rat	1	1
conundrum	1	1
manifold	1	1
pat	1	1
imprisonment	1	1
chronicle	1	1
hideous	1	1
indiscreetly	1	1
slip of paper	1	2
suddenly	2	13
sing	1	1
different	1	1
procession	1	1
live	2	8
article	1	1
technical	1	1
solve	1	2
home	3	3
accumulate	1	1
astonish	1	1
strike	7	11
furniture	1	1
constable	1	2
pod	1	1
definite	1	1
heel	2	2
woman	2	14
mile	1	3
add	1	1
else	1	4
reproduce	1	1
horrid	1	1
turn out	1	1
deeply	1	2
scream	2	2
Stoke Moran	1	7
Holmes	1	74
yesterday	1	1
knee	1	2
gipsy	2	7
land	2	2
cast	1	1
in truth	1	1
brown	2	3
mind	2	4
motive	1	1
spread out	1	1
lock up	1	1
despondent	1	1
in	1	3
shoe	1	1
office	1	1
best	1	1
coroner	1	4
Mr.	1	1
work	4	9
gale	1	2
20	2	2
dash	1	1
practical joker	1	1
communication	1	2
perplexity	1	1
honest	1	1
doorway	1	1
their	1	18
heat	1	1
chimney	1	3
where	1	9
call for	1	1
expire	1	1
pedestalled	1	1
hunting-crop	1	2
a few	1	13
directly	1	1
in that	1	1
perfect	1	1
fall back	1	1
corner	3	6
return	3	13
narrow	1	3
water	1	1
trap	2	5
undertake	1	1
trace	2	4
glide	1	1
lock	3	5
sash	1	2
place	5	9
seriously	2	2
die	2	13
reader	1	1
quick	2	3
lot	1	1
lap	1	2
creature	2	5
Finally	2	3
answer for	1	1
prefer	2	2
over	4	8
twinkle	2	2
curl	2	2
12	1	1
manner	2	5
vacant	1	1
riser	1	1
superior	1	1
continue	3	5
afternoon	1	4
dazed	1	1
pellet	1	1
county	2	7
ha	1	2
opening	1	3
vigil	1	1
pend	1	1
pretty	1	2
commonplace	1	1
chapter	1	3
discuss	1	1
sit down	1	1
avoid	1	2
consist	1	1
fully	1	1
memory	1	1
prop	1	1
forest	1	1
metal	2	3
fault	1	1
get into	1	1
goodness	1	1
clap	2	2
deduction	1	1
flee	1	1
curiosity	1	2
sum of money	1	1
flower-bed	1	1
slope	1	1
ray	1	1
scruple	1	1
snap	1	1
them	1	18
beg	1	3
medical aid	1	1
reward	3	4
slip off	1	1
prepare	1	1
boom out	1	1
bite	2	2
year	1	17
great	4	13
knife	1	1
finger	1	4
englishman	1	2
meet	3	8
real	1	1
how	1	26
night-dress	1	1
tooth-brush	1	1
exhaust	2	3
narrowly	1	1
secure	1	2
centre	1	3
predominate	1	1
limb	1	2
go out	2	3
lead	6	8
entirely	2	7
visit	3	6
hat	1	2
no matter	1	1
get over	1	1
feeble	1	1
river	1	1
wide	1	1
tap	2	2
writer	1	1
run	5	11
practice	1	2
vague	2	2
deep-set	1	2
recoil	1	1
heavy	3	4
attention	2	8
action	2	4
lip	1	2
grief	1	1
person	1	6
in time	1	4
easy	2	6
match-box	1	1
swear	2	2
frighten	1	3
thinly	1	1
get  on one's nerves	1	1
daylight	1	1
wedding	2	3
pittance	1	1
pet	1	2
personally	1	1
no more	1	1
approach	3	3
master	1	3
somewhat	1	1
satisfaction	1	2
leatherhead	1	4
to-night	1	3
rope	1	9
pauper	1	1
jail	1	1
owe	1	2
roof	1	2
pass away	1	1
tassel	1	1
serious	2	6
detective	2	2
carriage	1	1
immediate	2	2
metallic	1	3
break off	1	1
rich man	1	2
remedy	1	1
bed	2	25
landscape	1	1
blank	1	1
wire	2	3
chalk	2	5
certainly	1	11
come with	1	3
confession	1	1
blotched	1	1
invitation	1	1
advice	1	5
say	7	122
audience	1	1
watch	1	2
each	1	12
precede	1	1
slow	1	1
lace	1	1
dressing-gown	1	6
many	1	7
secret	2	5
pistol	1	6
decoy	1	1
stationmaster	1	1
process	1	1
make up	1	2
r	1	2
certainty	2	2
apply	1	1
thicken	1	1
upper	1	1
late	3	4
will	1	1
neighbour	1	1
original	1	1
seeing	1	1
enormous	1	1
intensify	1	1
complete	4	4
seat	5	8
reconsider	1	1
human	1	1
landlord	1	1
weight	1	2
method	1	1
idea	2	6
calm	1	1
instant	2	8
propose	1	3
eventually	1	1
mud	1	2
obviously	1	2
two	1	5
9	1	1
How ever	1	1
conceive	1	1
ground	3	6
plainly	1	1
frame	3	3
soothing	1	2
speak	3	17
one time	1	1
masculine	1	1
startle	1	1
so far	1	2
crook	1	2
upward	1	1
north	1	1
enough	3	14
singular	1	6
house	2	16
good fortune	1	1
preponderance	1	1
scattered	1	1
strange	1	12
dance	2	16
unlikely	1	1
take back	1	1
draw out	1	1
necessarily	1	1
bachelor	1	1
groove	1	1
dreadful	1	5
by chance	1	1
painless	1	1
experience	1	1
of course	1	5
reconstruct	1	1
recognize	1	1
forward	4	8
easily	1	2
pillow	1	1
morose	1	1
utmost	1	3
panelled	1	1
field	2	2
do	6	50
abandon	2	2
persuasion	1	1
habit	1	2
wash	1	1
sherlock holmes	1	11
half-pay	1	1
consideration	1	1
hire	1	1
brisk	1	1
hospitality	1	1
alteration	1	1
scrawl	2	5
useful	1	1
moment	3	18
cartridge	1	3
annoy	1	1
rub	1	3
Watson	1	23
regency	1	1
countryside	1	1
policeman	1	2
firmly	2	2
homely	1	1
everything	1	4
parish	1	2
gray-headed	1	1
husband	1	10
up to	1	1
halloa	1	1
architect	1	1
equally	1	1
lecture	1	1
instantly	2	4
forget	2	6
capital	3	3
violent	1	3
police-court	1	1
tend	1	2
dark-lantern	1	2
custom	1	2
major	1	1
black	1	9
build	1	1
twelve	1	1
good	10	17
existence	1	1
way	7	14
full	4	7
indulge	1	1
objection	2	3
married	1	1
lie	4	6
club	1	1
necessary	1	6
in store	1	1
loathsome	1	1
pass as	1	1
conduct	1	1
anywhere	1	1
take	15	34
happy	2	3
while away	1	1
jacket	1	1
tighten	1	1
occasional	2	3
toss	2	3
thing	5	9
frock-coat	1	1
take into one's confidence	1	1
surprise	1	3
to that effect	1	1
oblige	2	3
tug	1	1
go wrong	1	1
village	2	6
lucky	1	1
familiar	2	2
no longer	1	1
tragedy	1	3
get the better of	1	1
exposure	1	1
arouse	1	1
take over	1	1
combination	2	3
yours	1	1
ejector	1	1
dissolute	1	1
pull at	1	1
whipcord	1	2
explanation	1	1
analyze	1	1
hate	1	1
pity	2	2
rate	1	1
total	1	1
mansion	1	1
brew	1	1
lean back	1	3
rear	1	1
name	3	14
noble	1	1
summon	1	1
hair	1	4
lock in	1	2
gaze	1	3
catlike	1	1
carefully	1	5
block	3	4
incredible	1	1
guilt	1	1
missing	1	2
expression	1	2
wise	1	1
retort	1	1
precise	1	2
family	3	13
scoundrel	1	1
echo	1	1
to that	1	1
smell	3	8
steady	1	1
some	7	56
which	2	31
your	3	70
dangle	1	1
drown	1	1
ajar	1	1
quest	1	2
cat	1	3
hunt	2	2
stranger	1	2
come home	1	1
drive out	1	1
surrounding	1	1
notebook	1	3
dismay	2	2
knock out	1	1
mister	1	1
prosperity	1	1
what	2	54
solution	1	1
skulk	1	1
puff	1	1
star	1	1
crocodile-skin	1	1
forth	1	1
nuisance	1	1
responsible for	1	2
sinner	1	6
in addition	1	1
situation	2	2
themselves	1	1
sheet	2	4
in practice	1	1
injury	2	2
represent	2	3
pretence	1	1
conclusion	4	6
slip	4	6
better	2	3
merit	1	1
spotted	1	1
quickly	1	1
maiden	1	1
take out	1	1
creep up	1	1
comparatively	1	1
art	1	1
right	6	10
plan	1	2
white	2	6
give way	1	1
sign	3	5
delight	1	1
extinguish	1	1
acre	1	2
impatience	1	1
soon	2	5
pitch dark	1	1
costume	1	1
news	1	1
dusk	1	1
quiet	1	3
jet	1	1
random	1	1
down	4	14
panel	2	3
used to	1	1
fall	4	7
unseen	1	1
up	6	6
timber	2	2
clock	1	2
never again	1	1
promise	3	9
discovery	2	2
faculty	1	1
care for	1	1
pipe	1	1
reverse	1	1
stain	2	2
hinge	1	2
as	2	41
common	2	4
daytime	1	1
premises	1	1
british	1	1
heaven	3	10
old	3	25
between	1	11
victim	1	2
judge	1	1
voice	2	6
early	3	7
week	2	8
sit	2	18
furrow	1	1
relative	2	2
serpent	1	1
extent	1	2
dream	1	1
obvious	1	1
noiselessly	1	1
tennis	1	1
explosion	2	2
side door	1	1
silver	2	3
consult	1	1
puncture	1	1
convulse	1	1
misery	1	1
just about	1	1
wish	3	11
we	1	129
yell	2	2
stare	3	5
composure	1	1
express	1	1
also	1	12
by inches	1	1
frog	1	1
bizarre	1	1
sever	1	1
glow	1	1
as yet	1	1
climb up	1	1
get	8	15
headgear	1	1
beneath	1	1
gaiter	1	1
inside	4	7
hullo	1	1
central	1	4
away	5	12
n't	1	17
otherwise	1	1
clever	1	3
close quarters	1	1
clear	6	11
look upon	1	2
at less	1	1
small	5	18
request	2	2
fireplace	1	2
sure enough	1	1
anxious	2	3
berkshire	1	1
disgraceful	1	1
character	2	6
lose	2	4
repair	3	4
trumpet	1	1
any	2	34
had best	1	2
gather	3	4
impression	1	1
depart	1	1
catch a glimpse	1	1
entertaining	1	1
care	4	6
information	1	1
toe	1	1
dull	1	1
fragrance	1	2
straighten	1	1
wealth	1	1
sight	3	3
peculiar	2	4
uniform	1	1
correspondent	1	1
april	1	1
stride	1	2
anything	1	6
good-morning	1	1
consultation	1	1
moonlight	1	2
recklessly	1	1
p	1	1
cruelly	1	1
brace	1	1
considerably	1	1
profession	3	3
ten	1	1
to it	1	1
candle	1	3
apartment	1	2
recapitulate	1	1
companion	2	10
saw	2	7
trouble	4	7
after all	1	1
cling	1	1
s	1	2
prick up	1	1
utterly	1	3
realization	1	1
writing-table	1	1
as good as one's word	1	2
climb	3	10
clang	2	3
painful	1	1
iron	1	6
intricate	1	1
bell	2	7
sombre	1	1
fair	1	1
breath	1	1
good-afternoon	1	1
event	1	6
massive	1	2
furiously	2	2
by the way	1	1
deftly	1	1
appearance	1	1
window	4	35
bring about	1	2
become	3	11
attack	2	3
cook	1	2
zest	1	1
completely	1	1
all	4	57
once again	1	1
benefit	1	1
thief	1	3
describe	1	2
reasonable	1	1
fifty	1	1
business	7	11
surely	1	1
assistance	1	1
keep	3	4
data	1	2
spare	1	2
