Lemma	Senses	Freq
kerja	3	4
tanggung jawab	1	1
mengisap	1	1
apa	2	8
tongkat	1	3
pulang	2	6
penjara	1	1
penutup	2	3
sekiranya	1	1
zaman	1	1
hubungan	4	4
kotak korek api	1	1
menahan	1	2
memindahkan	1	2
mata	1	14
natal	1	1
nampaknya	5	9
juga	2	25
budi	1	1
ceritakan	1	6
roylott	1	24
kelihatannya	1	1
berhubungan dengan	1	1
sayup-sayup	2	2
penyidik	1	4
diperlukan	1	1
stasiun kereta api	1	1
menenangkan	1	1
tanah	2	4
turun	5	7
nama	1	9
berubah	1	1
cantelan	1	1
mengunjungi	1	3
memutih	1	1
bersusah payah	1	1
anak tiri	2	3
melambaikan	1	1
jelas	3	8
main-main	1	1
berhenti sejenak	1	1
rombongan	1	1
terdapat	1	1
seharusnya	1	1
kuno	2	2
pinggir	1	1
mengganti	1	1
bergerak	1	1
milik	2	4
catatan	2	2
tuhan	1	3
lirih	1	2
berdiri	1	6
telah	1	4
sinar	5	9
praktek	1	3
sumpah	1	1
takuti	1	2
enak	1	1
ulat	1	1
keras hati	1	1
terlihat	3	6
sungguh	2	2
di sana	2	8
memelihara	2	4
tempat duduk	1	2
tubuh	2	8
rumah	6	25
mengembuskan	1	1
hati	3	8
tempatnya	1	2
kapan saja	1	1
nyalakan	1	2
muka	2	2
kedokteran	1	2
sendirian	2	4
rencana	1	5
keliru	1	2
ikut serta	1	1
mendalam	1	1
gigitan	1	2
satu-dua	1	1
mayat	1	1
tengkar	1	2
apa-apa	1	8
permisi	1	1
mengguncang	1	1
pusaran air	1	1
menceritakan	1	4
minat	2	2
perlengkapan	1	1
sikap	1	1
istri	1	2
bunga	2	7
menyelipkan	1	1
meluruskan	2	2
kisah	2	3
perangkap	1	1
sekilas	1	2
mengerti	1	3
anak muda	1	1
daun	1	2
di sana-sini	1	1
salah	2	2
intuisi	1	1
kelopak	1	2
marah	3	5
coklat	1	3
bandingkan	1	1
sandal	1	1
kemari	1	6
menggapai	2	2
nenek moyang	1	1
bertepuk tangan	1	1
menggelikan	1	1
mendongak	1	1
menjatuhkan	1	1
biru	1	2
ekstra	1	1
kilat	1	1
menggembirakan	1	1
merangkak	1	1
ladang	1	1
pakai	1	3
usaha	1	2
gelap gulita	1	1
menggigit	1	2
oh	1	5
setengah jam	1	1
berduyun-duyun	2	2
mendekati	2	3
bantuan	1	1
penyelidikan	1	3
terganggu	1	1
entah	1	1
bersikeras	1	2
menghilang	1	1
menyengat	1	1
berbaris	1	1
produk	1	1
menganggap	3	3
cemeti	1	2
menengok	1	1
rambut	1	4
ke sana	1	1
karpet	1	1
awal	4	6
kilometer	1	1
menyesuaikan	1	1
selang	1	1
leher	1	1
butuhkan	1	1
panaskan	1	1
menginjak	1	1
laut	1	1
di sini	1	2
memiliki	1	1
bantal	1	2
dipaksa	1	1
mengambil	2	6
adalah	2	4
selamat	1	1
membuka	3	9
belukar	1	1
gelagapan	1	1
merencanakan	2	2
memperhatikan	2	3
alasan	3	3
tolol	1	2
tiup	1	1
tangan	3	20
kilauan	1	1
hampir	2	5
ketakutan	3	9
menunjuk	1	4
menggeser	1	1
pendeta	1	1
sekejap	1	2
sekarat	1	1
carik	1	1
mengandung	1	1
tempat	3	7
terperanjat	2	2
satu per satu	1	1
lepas	2	2
gemerencing	1	1
lentera	1	2
sesuatu	1	13
belakang	1	1
benggala	1	1
ketiga	1	3
terjadi	4	14
april	1	1
lolongan	1	1
beberapa	2	4
pembantu	1	2
betah	1	1
kejam	1	2
ke bawah	2	3
puntung	1	1
menaruh	1	1
mengenai	1	1
undang	1	1
percayai	1	1
mendadak	1	1
begitu	5	36
perlukan	1	1
ha	1	1
menjuntai	1	1
teori	1	2
tepuk	1	1
satu	3	4
gigi	1	1
mengeluarkan suara	1	1
tindihan	1	1
menerima	1	1
suasana	2	2
berdentang	1	2
barisan	1	1
jengkel	1	1
jauhnya	1	1
melompati	1	1
kuat	5	8
pepohonan	1	3
baru saja	1	1
mabuk	1	1
rintihan	1	1
ide	1	3
keperakan	1	1
menghibur	1	1
jantung	1	1
menunjukkan	4	7
maka	2	6
gumam	1	2
gampang	1	1
mirip	1	3
berkobar-kobar	1	1
kristal	1	1
perangai	1	1
mendapatkan	4	4
mempengaruhi	1	1
pengetahuan	1	1
tugas	1	3
langsungkan	1	2
ubah	1	1
yang lalu	2	7
beruntun	1	1
dagu	1	4
malahan	1	1
kandang	1	1
bangun	2	6
fungsi	1	1
rawa	1	1
bergegas	2	2
menarik perhatian	1	1
berikan	1	1
india	1	7
'lilitan	1	1
memanggil	3	4
pedesaan	1	2
tolong	2	2
kau-	1	7
lubang	2	24
menyelinap	1	1
nasib	1	1
membawa	1	4
perbuat	1	2
penganiayaan	1	1
dipenuhi	1	3
selain	1	1
mempergunakan	1	1
apalagi	1	2
sekeliling	2	4
dan	1	5
kerai	1	1
memilukan	1	2
serahkan	1	1
sekat	1	1
atas	1	4
ular bisa	1	1
menakutkan	3	4
semak-semak	1	1
bersamaan	1	2
menarik	6	9
bekerja	2	3
diangkat	1	1
ikut campur	1	1
muat	1	1
memanfaatkan	1	2
sering	3	3
matahari	1	2
buruk	1	1
buddha	1	7
ku-	1	22
letaknya	1	1
tersenyum	3	3
menolak	1	1
kedatangan	3	3
rapi	2	2
menemui	2	2
pohon	1	3
aneh	3	10
menjelaskan	1	1
melihat	9	24
pembicaraan	1	1
kaki	2	5
kadang-kadang	2	2
mayor	1	1
lho	1	1
sampai	3	21
ketentuan	1	1
hari ini	2	3
membaca	1	1
amat sangat	1	1
tukang	1	2
pintu masuk	1	1
sopan	1	1
pakaian	2	9
lama	4	11
masuk	2	14
cerdik	2	2
niscaya	1	1
siaga	1	1
keluarga	2	6
menyebabkan	2	5
tengah malam	1	1
depan	2	6
perjalanan	2	2
beruban	1	1
biasanya	2	4
sekitar	1	2
kerisauan	1	1
menangkap	2	2
bakar	2	2
dapat	1	2
berpikir	1	4
mujur	1	1
jari	1	1
atap	2	5
melompat	1	2
itu	2	222
kokoh	1	1
wabah	1	1
janji	2	4
lengkap	2	2
alur	1	1
mengira-ngira	1	1
jijik	1	1
kemarahan	1	1
teman	4	21
bau	1	5
kecurigaan	1	2
usah	1	3
ribuan	1	1
Mayor Jenderal	1	1
hidung	1	1
tinggalkan	1	1
dua minggu	1	1
dibangun	1	3
raut	1	1
kedengkian	1	1
kayu	2	6
santai	1	1
bagaimana	1	3
gertak	1	1
alangkah	1	1
seluruhnya	1	2
pistol	1	5
lebam	1	1
yang akan datang	1	1
menuangkan	1	1
astaga	1	1
menatap	1	2
menggenggam	1	2
pengalaman pahit	1	1
pahit	1	1
angkat	1	1
membutuhkan	1	1
pasi	1	2
lenguhan	1	1
terkira	1	1
tidak terkira	1	1
tiara	1	1
rampok	1	1
perhatian	2	3
derita	1	1
mutiara	1	3
tentunya	1	10
melorot	1	1
menyewa	1	1
membayangkan	1	2
pegangan	2	2
terus	1	2
saat	3	8
mengunci	1	4
sarankan	1	1
terlalu	1	2
kaget	2	2
ekor	1	6
nasihat	1	1
pekat	2	2
reruntuhan	1	1
kejut	1	2
tarikan	1	1
kenalan	1	1
membunuh	1	2
kotak	1	2
sakit	1	1
bicara	1	1
pasang	1	2
dahi	1	2
berdetak	1	1
tahu	6	22
dekat	3	7
melintasi	1	1
dinding	1	7
menolong	3	5
terdengar	1	13
lain	2	9
nyawa	1	2
mengucapkan	1	1
membuktikan	2	2
sampai-sampai	1	1
memandang	3	7
mengamati	2	11
langit-langit	1	1
tidak tahu	1	1
membuang	1	1
pergelangan kaki	1	1
menerangi	1	1
gila	1	1
menantikan	1	1
helai	1	1
membentuk	1	1
menyebar	1	1
masing-masing	1	1
katak	1	1
memperpanjang	1	1
niat	1	1
gelisah	1	1
melengkung	1	1
mendekatkan	1	1
tanya	1	5
mengigau	1	1
punya	1	2
segera	4	14
langsung	4	9
laris	1	1
kolam	2	9
masuk akal	1	1
ikut	3	4
memercikkan	1	1
langit	1	4
menyilaukan	1	1
menumpuk	1	1
hm	1	1
halaman	5	12
mengangkat	1	4
merintangi	1	1
laci	1	2
meja	2	6
lemas	1	1
tuan	1	1
kini	2	4
tembok	2	5
keesokan hari	1	1
selimuti	1	1
bekas	2	2
kepala	1	7
balik	1	1
menghadap ke	1	2
keheranan	1	1
lampu	2	9
ribu	1	2
detail	1	3
tiada	1	1
kunci	1	1
menghijau	1	1
dapat menangkap	1	1
usia	1	3
holmes	1	57
sayang	1	1
membunyikan	1	1
mengerikan	3	10
menggunakan	1	1
dua puluh	1	1
bolak-balik	1	1
tengah-tengah	1	1
penyebab	1	1
