Lemma	Senses	Freq
裏	1	1
曲者	1	2
鉄製	1	2
鉤	1	1
窪む	1	1
木	2	14
始まる	1	1
幸い	2	2
痕跡	1	1
くら暗	1	1
何様	1	1
一度に	2	2
浴びる	1	1
手短	2	2
女	1	11
苔むす	1	1
召使い	1	3
たまたま	1	3
火をいれる	1	1
博打打ち	1	1
発見 者	1	1
帰ってくる	1	1
さわやか	1	1
金鉱	1	1
素直	1	1
導く	2	2
受け入れる	2	2
ホームズ さん	1	2
毒牙	1	1
脅かす	2	3
並べる	1	2
責任	1	2
待ち伏せる	1	1
購入	2	2
ポルチコ	1	1
奇妙	3	14
薄い	1	1
眩しい	1	1
枚	1	3
激怒	1	1
奇想天外	1	1
本当	1	1
気高い	1	1
神経質	1	1
小	1	1
塊	1	1
細長い	1	1
本	2	3
歩む	1	1
野放し	1	1
不幸	3	5
そこ へ	1	1
驚き	1	3
納得	2	2
普段着	1	1
発端	1	1
次々	1	1
誇張	1	1
ああ	2	12
寝坊	1	1
狩猟	1	2
木立	1	1
外す	1	1
田舎 風	1	1
善良	1	1
困惑	1	1
没頭	1	1
現在	2	2
喜び	2	3
張り上げる	1	2
免れる	1	1
皆	1	1
ぴったり	1	1
眺める	1	2
すべる	1	1
証明	1	2
箱	1	2
頭 の 切れる	1	1
殺す	1	5
すると	1	5
まるで	1	3
同じ よう	1	1
着衣	1	1
十	1	1
思わず	1	1
蓮	1	9
旗	1	4
とる	3	3
休職	1	1
バッグ	1	1
正直言って	1	1
前もって	1	1
玄関	2	2
頓着	1	1
義理	1	3
最初	5	12
向ける	1	3
前日	1	1
何 の 変哲 も ない	1	1
堂々 と	1	1
拒む	1	2
厭	1	1
随意	1	1
計画	1	1
追う	2	3
離れる	2	4
剃る	1	1
闇	1	2
一休み	1	1
力	3	7
郷士	1	1
所	2	3
ともかく	1	1
命	1	6
きちんと	1	1
顎	1	3
気づく	3	5
万事	1	1
一晩	1	2
床	1	8
扉	1	29
橋	1	2
塞ぐ	1	2
善い	1	2
いざこざ	1	1
たたく	1	1
動く	2	4
金属	1	6
背中	1	1
駐在	1	2
部	1	3
おる	1	5
男	1	35
面白い	2	4
リヴォルヴァ	1	7
棟木	1	1
黙り込む	1	2
そびえ立つ	1	1
しかしながら	1	1
取り戻す	1	2
綴り	1	1
もしか	1	2
見逃す	2	2
罪	1	2
鍵 を かける	1	2
夕べ	1	1
開業	1	1
十一	1	2
気がつく	1	3
近い うち に	1	1
時分	1	1
あなた方	1	1
つらい	1	1
電車	1	1
仰せ	1	1
席	1	1
翼	1	7
全 財産	1	1
無慈悲	1	1
商売	1	1
除く	1	2
帰る	2	14
約束	1	8
召使	1	1
ひと	2	7
いくら何でも	1	1
強い	3	6
割れ目	1	1
打ち抜く	1	2
虐待	1	1
紙幣	1	1
名	1	8
ときに	1	1
足取り	1	1
間	7	23
眠る	1	5
人差し指	1	2
独楽	1	1
読み取る	1	1
科学 的	1	1
独り	1	1
少し	2	5
様子	4	7
にらみつける	1	1
東洋	1	1
事業	1	1
集まり	1	1
萼	1	1
蠢く	1	1
打ち据える	1	1
宣告	1	1
なぐり描く	1	1
するする	1	1
反射 的	1	1
抜け出す	1	1
論理	1	1
からみつく	1	1
たまる	1	1
めちゃくちゃ	1	1
口ひげ	1	1
外出	1	2
いくつもの	1	1
彼ら	1	2
見る こと	1	1
額	3	4
台座	1	1
第 一	4	4
証文	1	1
いる	5	22
その代わり	1	2
熱帯	1	1
パイプ	1	1
わけ	2	9
襞飾り	1	1
庭園	1	1
回す	2	3
その	1	67
ため	1	23
直接 に	1	1
へたる	1	1
とくに	1	1
近道	1	1
一 年	1	1
近く に	1	1
歩	1	1
とにかく	2	6
私立 探偵	1	1
私 たち	1	14
見守る	1	1
引き離す	1	1
準備	2	4
充満	1	1
せい	1	2
月桂樹	1	1
匂い	2	6
草	1	1
少なくとも	2	5
Ｌ	1	2
譲る	1	1
声 の 調子	1	1
末	1	1
九	1	1
確信	3	4
棚	1	2
助ける	2	5
ずぼら	1	1
お話	1	1
かかる	2	3
暗闇	1	4
さまざま	1	1
横になる	1	1
得る	2	5
板	2	6
つい	1	1
伺う	1	1
髪	1	3
回	1	3
鼻	1	2
書き付け	1	6
満ちる	2	4
横切る	1	3
苦々しい	1	1
容易 に	1	1
焼きつく	1	1
済まない	1	1
十分	1	2
調べ	1	1
相棒	1	5
響き	1	1
伸びる	1	1
糸口	1	1
出会う	1	1
だめ	1	1
まわり	1	1
いう	4	17
投げかける	1	3
生きのびる	1	1
夫	1	7
本人	1	1
地所	1	2
光る	1	6
めがける	1	1
遮る	1	1
責苦	1	1
くすむ	1	1
漂う	1	1
捕まえる	1	1
Ｍ	1	2
急	2	4
別段	1	1
閉ざす	1	1
籐	1	1
やさしい	1	1
馬番 の 少年	1	1
恋	1	1
脅す	1	1
答える	1	8
寝静まる	1	1
百六十	1	1
釈迦	1	7
完全	2	3
徹底的	1	3
オパール	1	1
満足	2	4
水の泡	1	2
職業 的	2	2
週間	1	7
酔う	1	1
考え	3	12
同行	2	2
マッチ	1	6
前	6	18
突っ立つ	1	1
地味	1	1
よい	3	4
片方	1	1
ジプシー	1	7
ゆだねる	1	1
恋 に 落ちる	1	1
覆う	1	3
命をかける	1	1
煉瓦	1	1
多く	1	1
駅	1	5
泊まる	1	1
種	1	2
床につく	1	1
通り過ぎる	1	1
引き締まる	1	1
引出し	1	1
東 ラス トン	1	2
ふざけ	1	1
端正	1	2
褐色	1	1
致す	1	3
隅	1	1
掘る	1	1
荘園	1	1
蟹	1	1
無理	1	1
知らせる	1	1
見張る	1	1
探偵	1	1
目 を とめる	1	1
室	1	3
改装	1	1
うめく	1	1
妨げる	1	1
説明	6	12
本来	1	1
おのれ	1	2
たいへん	1	6
ニューヨーク	1	1
屈む	1	1
俺	1	31
有益	1	1
骨ばった	1	1
決心	1	1
断る	1	1
向き直る	1	1
響く	1	2
農場 主	1	1
底	2	8
犠牲	1	1
三十	1	2
午前	1	3
戯れる	1	1
ヒルトン ・ キュー ビット 氏	1	3
見入る	1	1
気難しい	1	1
硝煙	1	1
後で	1	1
事件	3	27
感服	1	1
地域	1	1
うなずく	1	3
仕掛ける	1	1
ひとまず	1	1
遥か	2	2
今度	1	3
再び	1	2
手足	1	1
ストーク・モラン	1	1
だから	2	2
そこ から	1	5
運よく	1	1
執事	1	1
内側 に	1	1
いや	2	5
方角	1	2
老	3	5
時間	6	13
あいつ	1	22
折	1	2
思いつく	1	1
疑問	1	1
弾	1	6
Ｇ	1	1
果たせる	1	1
歯ブラシ	1	1
しかも	1	1
幕切れ	1	1
最初 に	2	3
放浪	1	1
跳ねる	1	1
警部	2	25
インチ	1	1
紳士	1	9
損	1	1
主題	1	1
廊下	1	8
独身 者	1	1
皮	1	1
熱心 に	2	3
皺	1	2
通気口	1	12
明かり	2	3
済む	1	1
黙る	1	1
愛くるしい	1	1
世界	1	1
浪費	1	1
Ｏ	1	3
これは	1	2
邪魔	2	2
ベッド	1	22
具合	1	1
その よう に	1	2
明白	1	1
隠す	2	6
軽い	2	2
北海	1	1
釘	1	1
村	2	5
むち	1	1
窓 ガラス	1	1
記録	3	4
先祖	1	2
帰国	1	1
ご存知	1	1
スリッパ	1	1
新芽	1	1
語順	1	1
まわる	1	1
双子	1	2
その上	1	1
方法	1	2
一 歩	1	1
徹底的 に	1	3
すっかり	2	2
投資	2	3
青ざめる	1	1
遺言	1	2
快活	1	1
どうも	2	7
立場	3	3
みる	1	1
婚約	2	3
許可	1	1
事	4	9
隠れる	1	1
誠実	1	1
肩	1	5
たくさん	2	2
広げる	1	2
越す	1	1
懐	1	1
巡査	1	2
正直	1	3
投げ込む	1	1
目覚める	1	1
それ から	2	6
いくつも	1	1
蝋燭	1	1
素晴らしい	1	3
避ける	1	1
ヴェイル	1	3
非常	2	4
決める	1	1
自由 に	3	4
違い	1	3
教授	1	1
つなげる	1	1
動き出す	1	1
化学 分析	1	1
一緒	2	3
結び	1	1
実行	1	1
特に	1	1
奪う	1	2
方	5	21
咽ぶ	1	1
ぶらぶら	1	2
ここ に	1	7
友達	1	2
鍛冶	1	1
ロンドン	1	8
近い	4	5
それで	1	5
最悪	2	3
こぶし	1	1
振り絞る	1	1
話す	8	26
とおり	1	5
ごく	1	2
美しい	1	2
第 二	1	1
包む	1	1
部屋	2	74
上げる	3	7
右手	2	2
初めて	1	1
改める	1	1
ベンガル	1	1
移る	1	1
椅子	2	14
至近	1	1
真っ赤	1	1
やすい	1	3
仲	2	2
何者	1	1
庭	1	5
切れる	1	1
帽子 を かぶる	1	1
張本人	1	2
いたずら	2	5
真面目	1	1
手遅れ	1	1
飼い主	1	1
口笛 を 吹く	1	3
思い起こす	1	1
主	2	2
少しも	1	1
泣声	1	1
もたらす	1	1
よろしい	1	3
熱烈	1	1
歩く	2	9
お許し	1	1
突っ込む	1	2
シャーロック ・ ホームズ 先生	1	1
ととのえる	1	1
空想	1	1
物珍しい	1	1
我が物顔	1	1
喧嘩	1	2
幸福	1	1
最も	3	4
権	1	1
おはようございます	1	1
難事件	1	1
駅長	1	2
憎しみ	1	1
スコットランド ヤード	1	1
大 多数	1	1
神秘	1	1
もたせかける	1	1
申しあげる	1	1
メッセージ	1	1
猫背	1	1
応じる	1	2
はるか	1	1
数限もない	1	1
胸 の うち	1	1
そちら	1	1
座席	1	1
四	2	8
容赦	1	1
一致	1	1
さらに	5	10
憔悴	2	2
一体	1	1
長い	4	15
黄色	1	2
行列	1	1
写し取る	1	3
願う	2	3
婦人	2	25
熱愛	1	1
働く	1	2
銀色	1	2
ことば	1	1
飛び上がる	1	2
ようやく	1	3
具体	1	1
指差す	1	1
肘掛 椅子	1	1
驚かす	1	1
時点	1	2
紐	1	9
しばらく	1	6
側	3	7
名誉	1	1
普通	1	1
可能	1	1
旅	1	1
外れ	1	1
上手	1	2
昔	2	3
期限	1	1
喜ぶ	2	3
いいえ	1	2
中 へ	1	1
照らす	1	1
光栄	2	3
綱	2	14
決定的	1	1
もう少しで	1	1
いつく	1	1
そんなバカな	1	1
頻度	1	1
誓う	3	3
しっかり	2	7
無駄	3	4
すぐさま	1	1
役	1	1
即死	1	1
ほう	2	2
飾り	1	2
