Lemma	Senses	Freq
极其	2	3
丧命	1	1
大约	2	6
轻	2	2
褶边	1	1
建议	2	3
广泛	1	1
只有	4	13
电报	1	9
正相反	1	1
流氓	1	2
异样	1	2
面前	1	2
大厅	1	2
抽打	2	4
柜子	1	1
我们	2	170
亮光	1	4
感觉	2	2
紧紧	1	1
好 管 闲事	1	1
溜走	1	1
讲到	1	2
贼	1	3
一 对 的	1	2
听说	1	6
可能性	1	1
烧	1	2
闩杠	1	1
间接	1	2
惊醒	1	4
整整齐齐	1	1
料	1	2
毒牙	1	1
不 正当	1	1
前部	1	1
感激	1	1
辈子	1	1
业务	2	4
自伤	1	1
奇妙	1	1
县	1	1
动机	1	1
激怒	1	1
冬季	1	1
点 钟	1	1
阳光明媚	1	1
送信	1	2
拳头	1	1
联接	1	1
诧异	1	2
前进	1	1
拒	1	1
作证	1	1
本	2	4
悲痛	1	1
不容	1	1
已	1	17
不幸	7	9
秘密 文字	1	3
居住	1	2
嘶嘶 作声	1	1
成千成万	1	1
自在	1	1
阴沉	2	2
回到	1	6
兴奋	1	2
横躺	1	1
猛烈	2	2
订	1	1
打穿	1	1
寝室	1	2
解决	2	4
狼狈	1	1
仅	1	2
不 可能	2	3
进出	1	1
困惑	1	1
小声	1	1
有 可能	2	3
睡觉	1	1
皆	1	1
西部	1	1
凉飕飕	1	1
回 到 原处	1	1
刻	1	1
惨死	1	1
说 不 出 话	1	1
回忆	1	1
突如其来	2	2
十	1	1
微光	1	2
春意盎然	1	1
穿上	1	2
钢	1	2
一 群	1	1
情绪 激动	1	1
旗	1	2
门廊	1	1
初	1	1
不 省 人事	1	1
伙伴	2	8
地板	1	8
讨厌	1	1
则	1	1
出现	5	18
跳	3	4
履行	1	1
昔日	1	1
财产	1	2
车辆	1	1
耸 肩膀	1	1
深居简出	1	1
朝 向	1	1
声望	1	1
悲伤	1	1
它们	1	8
来到	1	6
火钳	1	4
丢脸	1	1
胳臂	1	1
乡村 医生	1	4
做梦	1	1
逃出	1	2
生性	1	1
砖木	1	1
ｏ	1	1
从事	1	1
无法	1	1
幸福	2	2
随意	1	2
压	1	2
如 纸	1	1
平坦	1	1
严肃	1	1
所	1	1
伤口	1	1
命	1	1
请教	1	1
重述	1	1
岔开	1	1
感兴趣	1	1
密切	2	3
从来	1	8
涂抹	1	1
记住	1	2
蜡	1	1
狂暴	1	1
奇形怪状	1	1
床	1	19
行	5	13
刀子	1	1
开始 的	1	1
毒药	1	2
密密	1	1
左右	1	1
眨眼睛	1	1
文雅	1	1
有 意思	1	2
容忍	1	1
走出	1	1
金属	1	6
焦虑	1	1
处	3	4
点	5	29
犹如	1	1
长大	1	1
省得	1	1
提出	2	2
备好	1	1
小路	1	2
金钱	1	1
不 知道	3	3
多 年	2	2
风暴	1	1
睡衣	1	6
凿	1	1
接着 说 下去	1	1
暴躁	1	1
火	1	1
粗心大意	1	1
十一	1	1
及至	1	1
改判	1	1
来得及	2	2
根据	1	1
钳	1	1
健壮	1	1
交到	1	2
费 事	1	2
奇特	2	4
索取	1	1
说出	1	1
必须	2	17
打开	3	8
去世	1	4
摄政	1	1
